gene,value
ALKBH4,2241
ALKBH5,17851
ALKBH6,620
ALKBH7,6579
ALKBH8,1606
ALLC,0
ALMS1,5115
ALOX12,1234
ALOX12B,3542
ALOX15,187
ALOX15B,1672
ALOX5,9581
ALOX5AP,7586
ALOXE3,660
ALPG,4
ALPI,1
ALPK1,7990
ALPK2,2423
ALPK3,1283
ALPL,1570
ALPP,0
ALS2,4906
ALS2CL,17069
ALX1,36
ALX3,213
ALX4,0
ALYREF,9483
AMACR,206
AMBN,4
AMBP,21
AMBRA1,7256
AMD1,19632
AMDHD1,159
AMDHD2,5637
AMELX,0
AMELY,0
AMER1,3121
AMER2,29
AMER3,0
AMFR,17056
AMH,447
AMHR2,17
AMIGO1,825
AMIGO2,2325
AMIGO3,0
AMMECR1,5360
AMMECR1L,8910
AMN,7990
AMN1,1128
AMOT,1447
AMOTL1,25274
AMOTL2,10244
AMPD1,618
AMPD2,7476
AMPD3,9489
AMPH,175
AMT,56
AMTN,3933
AMY1A,166
AMY1B,21
AMY1C,161
AMY2A,34
AMY2B,2264
AMZ1,601
AMZ2,8724
ANAPC1,7167
ANAPC10,512
ANAPC11,9456
ANAPC13,5242
ANAPC15,4215
ANAPC16,17756
ANAPC2,14487
ANAPC4,6892
ANAPC5,29808
ANAPC7,11512
ANG,264
ANGEL1,6246
ANGEL2,6472
ANGPT1,1135
ANGPT2,1834
ANGPT4,100
ANGPTL1,971
ANGPTL2,4747
ANGPTL3,0
ANGPTL4,8826
ANGPTL5,14
ANGPTL6,796
ANGPTL7,130
ANGPTL8,6
ANHX,0
ANK1,1105
ANK2,3347
ANK3,8941
ANKAR,637
ANKDD1A,1608
ANKDD1B,118
ANKEF1,4903
ANKFN1,54
ANKFY1,19146
ANKH,11669
ANKHD1,625
ANKHD1-EIF4EBP3,281
ANKIB1,9399
ANKK1,185
ANKLE1,247
ANKLE2,25404
ANKMY1,2889
ANKMY2,3149
ANKRA2,4170
ANKRD1,203
ANKRD10,15516
ANKRD11,33936
ANKRD12,15456
ANKRD13A,16442
ANKRD13B,2595
ANKRD13C,5281
ANKRD13D,12812
ANKRD16,1618
ANKRD17,20319
ANKRD18A,139
ANKRD18B,211
ANKRD2,84
ANKRD20A1,35
ANKRD20A2P,1
ANKRD20A3P,35
ANKRD20A4P,51
ANKRD22,6592
ANKRD23,370
ANKRD24,564
ANKRD26,2441
ANKRD27,7013
ANKRD28,11956
ANKRD29,6221
ANKRD30A,1
ANKRD30B,7
ANKRD30BL,1
ANKRD31,176
ANKRD33,0
ANKRD33B,6624
ANKRD34A,391
ANKRD34B,21
ANKRD34C,1
ANKRD35,5012
ANKRD36,2109
ANKRD36B,1188
ANKRD36C,1577
ANKRD37,2370
ANKRD39,681
ANKRD40,7922
ANKRD40CL,9
ANKRD42,1994
ANKRD44,9472
ANKRD45,36
ANKRD46,3299
ANKRD49,3709
ANKRD50,4829
ANKRD52,19241
ANKRD53,102
ANKRD54,3478
ANKRD55,141
ANKRD6,2671
ANKRD60,0
ANKRD61,10
ANKRD62,16
ANKRD63,8
ANKRD65,8702
ANKRD66,19
ANKRD7,40
ANKRD9,4534
ANKS1A,9182
ANKS1B,131
ANKS3,3474
ANKS4B,10
ANKS6,5516
ANKUB1,11
ANKZF1,9460
ANLN,9192
ANO1,6915
ANO10,4088
ANO2,190
ANO3,22
ANO4,819
ANO5,78
ANO6,6579
ANO7,90
ANO8,5953
ANO9,23844
ANOS1,958
ANP32A,19482
ANP32B,33753
ANP32D,2
ANP32E,9759
ANPEP,3442
ANTKMT,3874
ANTXR1,13563
ANTXR2,6438
ANTXRL,9
ANXA1,459211
ANXA10,50
ANXA11,38201
ANXA13,7
ANXA2,219831
ANXA2R,1791
ANXA3,2342
ANXA4,12205
ANXA5,26589
ANXA6,32654
ANXA7,25207
ANXA8,21788
ANXA8L1,12012
ANXA9,4547
AOAH,5474
AOC1,647
AOC2,264
AOC3,1744
AOPEP,20975
AOX1,1561
AP1AR,4510
AP1B1,36607
AP1G1,23891
AP1G2,23402
AP1M1,9687
AP1M2,6680
AP1S1,7881
AP1S2,3328
AP1S3,1140
AP2A1,29782
AP2A2,12199
AP2B1,24004
AP2M1,46534
AP2S1,26851
AP3B1,14825
AP3B2,3084
AP3D1,33580
AP3M1,12001
AP3M2,6931
AP3S1,12477
AP3S2,3196
AP4B1,5542
AP4E1,4423
AP4M1,4468
AP4S1,1490
AP5B1,10317
AP5M1,7572
AP5S1,3783
AP5Z1,11318
APAF1,5375
APBA1,788
APBA2,1825
APBA3,5952
APBB1,3246
APBB1IP,8179
APBB2,4932
APBB3,5192
APC,8674
APC2,1414
APCDD1,4666
APCDD1L,22
APCS,0
APEH,17378
APELA,5
APEX1,24620
APEX2,6372
APH1A,28007
APH1B,2147
API5,22964
APIP,2930
APLF,930
APLN,194
APLNR,2377
APLP1,593
APLP2,54092
APMAP,21365
APOA1,10
APOA2,0
APOA4,0
APOA5,0
APOB,9
APOBEC1,0
APOBEC2,39
APOBEC3A,11915
APOBEC3B,3474
APOBEC3C,16934
APOBEC3D,279
APOBEC3F,3771
APOBEC3G,12561
APOBEC3H,747
APOBEC4,42
APOBR,7545
APOC1,5016
APOC2,1
APOC3,0
APOC4,1
APOC4-APOC2,1
APOD,8810
APOE,87542
APOF,1
APOH,0
APOL1,42518
APOL2,18062
APOL3,25114
APOL4,7165
APOL5,0
APOL6,32603
APOLD1,2312
APOM,365
APOO,1897
APOOL,4292
APP,77885
APPBP2,6627
APPL1,12550
APPL2,8595
APRT,17768
APTX,5816
AQP1,15608
AQP10,21
AQP11,42
AQP12A,11
AQP12B,0
AQP2,1
AQP3,137875
AQP4,680
AQP5,61
AQP6,7
AQP7,104
AQP8,1
AQP9,1190
AQR,12900
AR,3404
ARAF,14211
ARAP1,30692
ARAP2,13163
ARAP3,2187
ARC,1101
ARCN1,22192
AREG,4207
AREL1,11629
ARF1,68815
ARF3,25069
ARF4,20655
ARF5,17586
ARF6,45958
ARFGAP1,17757
ARFGAP2,21352
ARFGAP3,7433
ARFGEF1,20946
ARFGEF2,16302
ARFGEF3,207
ARFIP1,5958
ARFIP2,11275
ARFRP1,10379
ARG1,24
ARG2,1108
ARGFX,0
ARGLU1,32477
ARHGAP1,23312
ARHGAP10,4798
ARHGAP11A,2631
ARHGAP11A-SCG5,28
ARHGAP11B,280
ARHGAP12,5434
ARHGAP15,4330
ARHGAP17,13712
ARHGAP18,4156
ARHGAP19,2972
ARHGAP19-SLIT1,0
ARHGAP20,1087
ARHGAP21,11363
ARHGAP22,1844
ARHGAP23,45963
ARHGAP24,3036
ARHGAP25,12195
ARHGAP26,14100
ARHGAP27,21025
ARHGAP28,2360
ARHGAP29,3590
ARHGAP30,26212
ARHGAP31,6394
ARHGAP32,13297
ARHGAP33,4317
ARHGAP35,30299
ARHGAP36,17
ARHGAP39,4329
ARHGAP4,32239
ARHGAP40,1328
ARHGAP42,1606
ARHGAP44,756
ARHGAP45,34533
ARHGAP5,17215
ARHGAP6,598
ARHGAP8,156
ARHGAP9,13568
ARHGDIA,74513
ARHGDIB,50454
ARHGDIG,18
ARHGEF1,61642
ARHGEF10,114
ARHGEF10L,13703
ARHGEF11,9914
ARHGEF12,23686
ARHGEF15,1914
ARHGEF16,9599
ARHGEF17,4276
ARHGEF18,15810
ARHGEF19,11572
ARHGEF2,17254
ARHGEF25,414
ARHGEF26,2577
ARHGEF28,8389
ARHGEF3,12469
ARHGEF33,124
ARHGEF35,1073
ARHGEF37,5811
ARHGEF38,88
ARHGEF39,1261
ARHGEF4,10995
ARHGEF40,2653
ARHGEF5,4907
ARHGEF6,8562
ARHGEF7,12645
ARHGEF9,4057
ARID1A,32448
ARID1B,16824
ARID2,8608
ARID3A,4810
ARID3B,4444
ARID3C,31
ARID4A,4973
ARID4B,9689
ARID5A,12113
ARID5B,15482
ARIH1,13927
